customer_id,age,gender,location,employment_status,credit_score,annual_income,account_balance,loan_amount,loan_status
1600,44,Female,Paris,Employed,630,34000,2000,3000,Rejected
1601,43,Female,Rome,Employed,624,76000,8000,1000,Approved
1602,34,Female,Madrid,Retired,677,61000,9000,7000,Rejected
1603,35,Male,Madrid,Student,741,72000,2000,18000,Approved
1604,19,Male,Madrid,Employed,830,67000,8000,13000,Approved
1605,29,Male,Madrid,Student,831,59000,8000,5000,Approved
1606,33,Female,Rome,Employed,749,39000,9000,8000,Rejected
1607,68,Female,London,Retired,845,64000,10000,13000,Rejected
1608,25,Male,Rome,Student,646,34000,9000,0,Rejected
1609,40,Female,London,Student,737,63000,6000,10000,Rejected
1610,23,Male,Rome,Employed,731,46000,3000,12000,Approved
1611,46,Male,London,Employed,789,75000,3000,12000,Approved
1612,44,Male,London,Retired,767,55000,2000,11000,Rejected
1613,69,Female,Rome,Retired,724,51000,3000,19000,Rejected
1614,65,Male,Madrid,Employed,786,74000,3000,11000,Approved
1615,29,Male,Berlin,Student,648,57000,6000,3000,Rejected
1616,44,Male,Madrid,Student,824,100000,1000,8000,Rejected
1617,22,Female,Rome,Student,727,83000,9000,12000,Approved
1618,62,Female,Madrid,Student,821,36000,3000,3000,Approved
1619,50,Male,Berlin,Student,739,43000,10000,13000,Rejected
1620,31,Male,Paris,Employed,838,63000,10000,7000,Approved
1621,52,Male,Berlin,Employed,794,61000,7000,4000,Approved
1622,72,Male,Berlin,Student,827,48000,8000,8000,Rejected
1623,44,Female,London,Employed,630,48000,8000,5000,Rejected
1624,59,Male,Paris,Employed,778,71000,3000,1000,Rejected
1625,28,Female,Madrid,Student,739,35000,6000,12000,Rejected
1626,37,Male,Berlin,Employed,706,32000,6000,10000,Rejected
1627,75,Male,Rome,Student,789,69000,7000,2000,Rejected
1628,68,Female,Berlin,Employed,726,92000,8000,18000,Approved
1629,64,Female,Madrid,Student,744,49000,2000,9000,Approved
1630,35,Male,London,Student,609,32000,5000,0,Approved
1631,59,Female,Madrid,Student,688,47000,4000,9000,Rejected
1632,71,Male,Berlin,Retired,676,57000,5000,10000,Rejected
1633,68,Male,Paris,Employed,708,50000,7000,10000,Approved
1634,49,Male,Madrid,Employed,803,73000,10000,20000,Approved
1635,22,Male,Madrid,Retired,691,92000,6000,6000,Approved
1636,41,Male,Rome,Employed,821,76000,4000,14000,Rejected
1637,66,Male,Paris,Student,849,58000,10000,14000,Rejected
1638,38,Female,Rome,Student,777,82000,1000,6000,Rejected
1639,66,Female,Madrid,Employed,841,54000,4000,7000,Approved
1640,57,Male,Berlin,Employed,804,49000,3000,18000,Approved
1641,50,Female,Berlin,Retired,664,84000,3000,19000,Rejected
1642,59,Female,Madrid,Retired,767,31000,6000,7000,Approved
1643,20,Female,London,Retired,701,52000,4000,12000,Rejected
1644,71,Male,Rome,Student,724,90000,2000,13000,Rejected
1645,35,Male,Madrid,Student,648,62000,5000,3000,Rejected
1646,60,Female,Berlin,Employed,614,87000,6000,9000,Approved
1647,53,Female,Madrid,Student,662,72000,6000,15000,Rejected
1648,31,Male,Madrid,Student,692,91000,2000,17000,Approved
1649,42,Female,Berlin,Student,775,30000,5000,11000,Rejected
1650,45,Female,London,Retired,668,69000,5000,2000,Rejected
1651,41,Male,Madrid,Employed,635,41000,6000,0,Rejected
1652,36,Female,Madrid,Retired,691,53000,9000,8000,Approved
1653,34,Female,London,Employed,723,72000,3000,18000,Rejected
1654,33,Female,Rome,Student,678,93000,7000,17000,Rejected
1655,37,Male,Berlin,Retired,624,91000,9000,19000,Rejected
1656,66,Male,Madrid,Retired,713,87000,10000,10000,Approved
1657,25,Female,Rome,Employed,749,85000,9000,20000,Approved
1658,41,Male,Madrid,Employed,708,50000,10000,20000,Rejected
